"Anio","Mes","Recuperados","Clase","Municipio"
2021,6,396,"Real","BARBOSA"
2021,6,7831,"Real","BELLO"
2021,6,1739,"Real","CALDAS"
2021,6,810,"Real","COPACABANA"
2021,6,2448,"Real","ENVIGADO"
2021,6,289,"Real","GIRARDOTA"
2021,6,6869,"Real","ITAGUI"
2021,6,692,"Real","LA ESTRELLA"
2021,6,45638,"Real","MEDELLIN"
2021,6,1294,"Real","SABANETA"
2021,7,471,"Real","BARBOSA"
2021,7,7334,"Real","BELLO"
2021,7,1646,"Real","CALDAS"
2021,7,613,"Real","COPACABANA"
2021,7,2059,"Real","ENVIGADO"
2021,7,316,"Real","GIRARDOTA"
2021,7,6480,"Real","ITAGUI"
2021,7,507,"Real","LA ESTRELLA"
2021,7,43747,"Real","MEDELLIN"
2021,7,1112,"Real","SABANETA"
2021,8,104,"Real","BARBOSA"
2021,8,2382,"Real","BELLO"
2021,8,504,"Real","CALDAS"
2021,8,180,"Real","COPACABANA"
2021,8,834,"Real","ENVIGADO"
2021,8,115,"Real","GIRARDOTA"
2021,8,2179,"Real","ITAGUI"
2021,8,209,"Real","LA ESTRELLA"
2021,8,16293,"Real","MEDELLIN"
2021,8,358,"Real","SABANETA"
2021,9,34,"Real","BARBOSA"
2021,9,1015,"Real","BELLO"
2021,9,131,"Real","CALDAS"
2021,9,102,"Real","COPACABANA"
2021,9,316,"Real","ENVIGADO"
2021,9,29,"Real","GIRARDOTA"
2021,9,636,"Real","ITAGUI"
2021,9,48,"Real","LA ESTRELLA"
2021,9,7344,"Real","MEDELLIN"
2021,9,115,"Real","SABANETA"
2021,10,19,"Real","BARBOSA"
2021,10,781,"Real","BELLO"
2021,10,125,"Real","CALDAS"
2021,10,83,"Real","COPACABANA"
2021,10,276,"Real","ENVIGADO"
2021,10,47,"Real","GIRARDOTA"
2021,10,404,"Real","ITAGUI"
2021,10,48,"Real","LA ESTRELLA"
2021,10,7143,"Real","MEDELLIN"
2021,10,89,"Real","SABANETA"
2021,11,29,"Real","BARBOSA"
2021,11,897,"Real","BELLO"
2021,11,171,"Real","CALDAS"
2021,11,87,"Real","COPACABANA"
2021,11,317,"Real","ENVIGADO"
2021,11,30,"Real","GIRARDOTA"
2021,11,391,"Real","ITAGUI"
2021,11,71,"Real","LA ESTRELLA"
2021,11,7343,"Real","MEDELLIN"
2021,11,109,"Real","SABANETA"
2021,12,27,"Real","BARBOSA"
2021,12,1060,"Real","BELLO"
2021,12,174,"Real","CALDAS"
2021,12,96,"Real","COPACABANA"
2021,12,469,"Real","ENVIGADO"
2021,12,45,"Real","GIRARDOTA"
2021,12,501,"Real","ITAGUI"
2021,12,75,"Real","LA ESTRELLA"
2021,12,10339,"Real","MEDELLIN"
2021,12,123,"Real","SABANETA"
2022,1,395,"Real","BARBOSA"
2022,1,5659,"Real","BELLO"
2022,1,1332,"Real","CALDAS"
2022,1,740,"Real","COPACABANA"
2022,1,4526,"Real","ENVIGADO"
2022,1,335,"Real","GIRARDOTA"
2022,1,3484,"Real","ITAGUI"
2022,1,1079,"Real","LA ESTRELLA"
2022,1,79494,"Real","MEDELLIN"
2022,1,1558,"Real","SABANETA"
2022,2,14,"Real","BARBOSA"
2022,2,144,"Real","BELLO"
2022,2,38,"Real","CALDAS"
2022,2,36,"Real","COPACABANA"
2022,2,133,"Real","ENVIGADO"
2022,2,22,"Real","GIRARDOTA"
2022,2,104,"Real","ITAGUI"
2022,2,52,"Real","LA ESTRELLA"
2022,2,2205,"Real","MEDELLIN"
2022,2,54,"Real","SABANETA"
2020,3,1173,"Predicho","BELLO"
2020,3,461,"Predicho","ENVIGADO"
2020,3,770,"Predicho","ITAGUI"
2020,3,8376,"Predicho","MEDELLIN"
2020,3,227,"Predicho","SABANETA"
2020,4,1169,"Predicho","BELLO"
2020,4,269,"Predicho","CALDAS"
2020,4,205,"Predicho","COPACABANA"
2020,4,451,"Predicho","ENVIGADO"
2020,4,757,"Predicho","ITAGUI"
2020,4,171,"Predicho","LA ESTRELLA"
2020,4,8102,"Predicho","MEDELLIN"
2020,4,224,"Predicho","SABANETA"
2020,5,57,"Predicho","BARBOSA"
2020,5,1165,"Predicho","BELLO"
2020,5,207,"Predicho","COPACABANA"
2020,5,441,"Predicho","ENVIGADO"
2020,5,745,"Predicho","ITAGUI"
2020,5,168,"Predicho","LA ESTRELLA"
2020,5,7836,"Predicho","MEDELLIN"
2020,5,220,"Predicho","SABANETA"
2020,6,57,"Predicho","BARBOSA"
2020,6,1161,"Predicho","BELLO"
2020,6,263,"Predicho","CALDAS"
2020,6,209,"Predicho","COPACABANA"
2020,6,431,"Predicho","ENVIGADO"
2020,6,112,"Predicho","GIRARDOTA"
2020,6,732,"Predicho","ITAGUI"
